Year,Round,GameID,WinningTeam,WinningSeed,WinningScore,LosingTeam,LosingSeed,LosingScore,ScoreDiff
2011,Round16,792,Marquette,11,66.0,Xavier,6,55.0,11.0
2011,Round32,793,Syracuse,3,77.0,Indiana St.,14,60.0,17.0
2011,Round32,794,Washington,7,68.0,Georgia,10,65.0,3.0
2011,Round8,795,North Carolina,2,102.0,LIU Brooklyn,15,87.0,15.0
2011,Round16,796,Duke,1,87.0,Hampton,16,45.0,42.0
2011,Round32,797,Michigan,8,75.0,Tennessee,9,45.0,30.0
2011,Round8,798,Arizona,5,77.0,Memphis,12,75.0,2.0
2011,Round32,799,Texas,4,85.0,Oakland,13,81.0,4.0
2011,Round32,800,Cincinnati,6,78.0,Missouri,11,63.0,15.0
2011,R64,801,Connecticut,3,81.0,Bucknell,14,52.0,29.0
2011,Round32,802,Temple,7,66.0,Penn St.,10,64.0,2.0
2011,Round16,803,San Diego St.,2,68.0,Northern Colorado,15,50.0,18.0
2011,Round8,804,Kansas,1,72.0,Boston University,16,53.0,19.0
2011,Round32,805,Illinois,9,73.0,UNLV,8,62.0,11.0
2011,Round16,806,Richmond,12,69.0,Vanderbilt,5,66.0,3.0
2011,Round32,807,Morehead St.,13,62.0,Louisville,4,61.0,1.0
2011,E8,808,VCU,11,74.0,Georgetown,6,56.0,18.0
2011,Round32,809,Purdue,3,65.0,Saint Peter's,14,43.0,22.0
2011,Round16,810,Florida St.,10,57.0,Texas A&M,7,50.0,7.0
2011,Round32,811,Notre Dame,2,69.0,Akron,15,56.0,13.0
2011,Round32,812,Pittsburgh,1,74.0,UNC Asheville,16,51.0,23.0
2011,R32,813,Butler,8,60.0,Old Dominion,9,58.0,2.0
2011,Round32,814,Kansas St.,5,73.0,Utah St.,12,68.0,5.0
2011,Round16,815,Wisconsin,4,72.0,Belmont,13,58.0,14.0
2011,Round32,816,Gonzaga,11,86.0,St. John's,6,71.0,15.0
2011,Round16,817,BYU,3,74.0,Wofford,14,66.0,8.0
