Year,Team,InTournament,TeamNo,Seed,NET_RPI,ELO,Q1_W,Q2_W,Q1_PLUS_Q2_W,TR_RANK,TR_RATING,SOS_RANK,LUCK_RANK,CONSISTENCY_RANK,O_RATE,D_RATE,RELATIVE_RATING,TRUE_TEMPO,KenPomRank,AdjEM,AdjO,AdjD,AdjT,Luck,SOS,NCSOS
2009,Oklahoma St.,True,90.0,8.0,19.0,31.0,4.0,5.0,9.0,28.0,20.2,12.0,129.0,44.0,,,,,,,,,,,,
2009,Louisville,True,107.0,1.0,4.0,2.0,9.0,7.0,16.0,7.0,26.2,7.0,94.0,317.0,,,,,,,,,,,,
2009,Tennessee,True,80.0,9.0,25.0,49.0,2.0,9.0,11.0,25.0,20.5,22.0,283.0,280.0,,,,,,,,,,,,
2009,Robert Morris,True,85.0,15.0,109.0,95.0,0.0,0.0,0.0,156.0,7.6,273.0,96.0,325.0,,,,,,,,,,,,
2009,Maryland,True,104.0,10.0,55.0,61.0,4.0,4.0,8.0,54.0,16.6,34.0,51.0,247.0,,,,,,,,,,,,
2009,Michigan,True,102.0,10.0,44.0,55.0,6.0,4.0,10.0,52.0,16.7,36.0,67.0,206.0,,,,,,,,,,,,
2009,Gonzaga,True,110.0,4.0,26.0,9.0,6.0,2.0,8.0,5.0,26.8,31.0,259.0,271.0,,,,,,,,,,,,
2009,Oklahoma,True,91.0,2.0,5.0,10.0,10.0,7.0,17.0,12.0,23.7,14.0,29.0,99.0,,,,,,,,,,,,
2009,Southern California,True,76.0,10.0,38.0,33.0,5.0,4.0,9.0,29.0,19.4,11.0,132.0,28.0,,,,,,,,,,,,
2009,Western Kentucky,True,68.0,12.0,43.0,52.0,1.0,2.0,3.0,105.0,11.3,153.0,16.0,324.0,,,,,,,,,,,,
2009,LSU,True,106.0,8.0,37.0,28.0,1.0,10.0,11.0,42.0,18.0,66.0,32.0,322.0,,,,,,,,,,,,
2009,Butler,True,123.0,9.0,24.0,22.0,2.0,10.0,12.0,37.0,18.6,79.0,35.0,149.0,,,,,,,,,,,,
2009,North Dakota St.,True,94.0,14.0,87.0,37.0,0.0,0.0,0.0,57.0,16.5,134.0,158.0,116.0,,,,,,,,,,,,
2009,Dayton,True,114.0,11.0,27.0,41.0,3.0,7.0,10.0,82.0,13.7,95.0,3.0,156.0,,,,,,,,,,,,
